"lat","lon","pc_code","pc_location","pc_name"
34.50867443,69.18066344,0101001,"کوچه اچکزی","ليسه عاشقان و عارفان"
33.87580948,69.6333802,1308138,"کوندی حسن خیل کلی","مسجد ونس خیل"
34.456239627,70.594289245,0605160,"داربنګ","دار بنګ مکتب"
34.24672994,69.99698577,0619243,"ماما خيل","ماماخيل ليسه"
34.47952462,70.92009011,0614499,"علي خيل کلی","شخصي کور"
33.30640805,62.14273845,3214301,"قندیز","مسجد قدیمی قندیز"
36.910654936,66.848346863,2106177,"شهاب افغانیه","مسجد جامع خواجه ولی"
34.88705194,69.68533361,0206095,"شکوت","متوسطه شهید حفیظ الله"
34.94656316,68.541312151,0310131,"بازار ولسوالی دشت گذار","کیلینک حیوانی ولسوالی"
34.27624227,63.24147262,3212376,"پشت پاجی","مسجد پشت پاجی"
34.28907849,63.05783067,3212377,"قریه سیروان","مکتب سیروان"
35.00530741,68.86111751,0307090,"سرپل دو آب","مسجد جامع دو آب"
34.99556325,65.70398113,2301039,"جنداک","مکتب جنداک"
34.86126123,70.36992997,0704076,"پړوایی","دپړوائي ښوونځی"
34.94980635,71.22808631,1506063,"شین کوړک","مکتب ابتدائیه"
34.96645553,71.27483787,1506064,"شیگل واشیلتن","تعمیر ولسوالی"
35.01560098,71.39875741,1512054,"بیاداد","مکتب ابتدائیه"
33.78764238,64.8916015,2305113,"قریه تخته ترمه","خیمه بازار تخته ترمه"
33.97186444,63.71988353,2309178,"قریه خوا جه ها","مکتب تولک"
33.94593145,63.79730451,2309193,"سنگ خلق","مکتب ابتدای سنگ خلق"
32.404516,64.47085691,3007196,"نوزاد کلان","اسعد سوري ليسه"
32.23240214,64.6983095,3009184,"شیرغزی","د نور محمد كور"
32.26020614,64.74522454,3009185,"کاڼی مانده","خان محمد مسجد"
35.61373847,63.31073532,3105153,"اکازی ها","مکتب اکازی ها"
35.52160345,63.37038205,3105158,"جوی کار","مکتب جوی کار"
