lat,lon,pc_code,pc_location,pc_name,ps_male,ps_female,ps_total
34.50867443000004,69.18066344000002,0101001,کوچه اچکزی,ليسه عاشقان و عارفان,3,3,6
33.87580948000005,69.63338020000003,1308138,کوندی حسن خیل کلی,مسجد ونس خیل,3,0,3
34.45623962700017,70.59428924500008,0605160,داربنګ,دار بنګ مکتب,2,1,3
34.24672994000013,69.99698577000001,0619243,ماما خيل,ماماخيل ليسه,0,3,3
34.47952462000011,70.92009011000003,0614499,علي خيل کلی,شخصي کور,0,2,2
33.30640805000005,62.14273845000008,3214301,قندیز,مسجد قدیمی قندیز,4,1,5
36.91065493600006,66.84834686300006,2106177,شهاب افغانیه,مسجد جامع خواجه ولی,1,1,2
34.88705194000006,69.68533361000003,0206095,شکوت,متوسطه شهید حفیظ الله,4,0,4
34.946563160000125,68.54131215100007,0310131,بازار ولسوالی دشت گذار,کیلینک حیوانی ولسوالی,1,1,2
34.27624227000005,63.24147262000009,3212376,پشت پاجی,مسجد پشت پاجی,3,2,5
34.28907849000007,63.05783067000005,3212377,قریه سیروان,مکتب سیروان,3,2,5
35.00530741000006,68.86111751000001,0307090,سرپل دو آب,مسجد جامع دو آب,2,1,3
34.99556325000001,65.70398113000003,2301039,جنداک,مکتب جنداک,3,2,5
34.86126123000001,70.36992997000004,0704076,پړوایی,دپړوائي ښوونځی,2,2,4
34.8866182900001,70.37945197000006,0704080,منګو,دمنګو ښوونځی اوخېمه,2,1,3
34.923274180000064,70.39196032000008,0704081,کوټلی,دکوټلي اسلامي مدرسۀ,1,1,2
34.94980635000006,71.22808631,1506063,شین کوړک,مکتب ابتدائیه,4,2,6
34.96645553000003,71.27483787000004,1506064,شیگل واشیلتن,تعمیر ولسوالی,3,2,5
35.01560098000009,71.39875741000002,1512054,بیاداد,مکتب ابتدائیه,2,2,4
33.787642380000136,64.89160150000002,2305113,قریه تخته ترمه,خیمه بازار تخته ترمه,2,1,3
33.97186444000007,63.71988353000005,2309178,قریه خوا جه ها,مکتب تولک,3,1,4
34.12008072000004,63.63185896000005,2309186,تگاب اشلان,مکتب متوسطه تگاب اشلان,3,1,4
34.153500510000036,63.519567250000065,2309192,لراق,منزل ارباب میرگل,1,1,2
33.945931449999996,63.797304510000046,2309193,سنگ خلق,مکتب ابتدای سنگ خلق,2,1,3
32.40451600000003,64.47085691000005,3007196,نوزاد کلان,اسعد سوري ليسه,6,1,7
32.232402140000005,64.69830950000004,3009184,شیرغزی,د نور محمد كور,3,2,5
32.26020614,64.74522454000005,3009185,کاڼی مانده,خان محمد مسجد,3,2,5
35.61373847000009,63.310735320000056,3105153,اکازی ها,مکتب اکازی ها,2,1,3
35.52160345000002,63.370382050000046,3105158,جوی کار,مکتب جوی کار,2,1,3
35.32536504000007,63.64135239000006,3105168,محله پایین,مکتب محله پایین,3,2,5
35.61215435000008,63.324845360000026,3105188,سرخلنک جوی گنج,مسجد سر خلنگ جوی گنج,2,1,3
32.90659178000003,61.90357121000003,3303055,کاریز صادق,مسجد کاریز صادق,1,1,2
