lat,lon,pc_code,pc_location,pc_name
34.50867443,69.18066344,0101001,"Achekzai Street","Ashuqan-O-Arifan High School"
33.87580948,69.6333802,1308138,"Kwandi Hassan Khel Village","Venus Khel Mosque"
34.456239627,70.594289245,0605160,"Darbang ","Darbang School"
34.24672994,69.99698577,0619243,"Mama Khel ","Mama Khel High School"
34.47952462,70.92009011,0614499,"Ali Khel Village","Private House"
33.30640805,62.14273845,3214301,"Qandiz ","Qandiz Qademi Mosque "
34.06038433,62.37629026,3203117,"Gumbadi Village","Kochis Location"
36.910654936,66.848346863,2106177,"Shahab Afghania Village","Shamsullah Private House"
34.88705194,69.68533361,0206095,"Shokut","Shaheed Hafizullah Secondary School"
34.94656316,68.541312151,0310131,"District Bazar Dasht-E-Guzar","District Building "
34.27624227,63.24147262,3212376,"Posht-E- Paji ","Posht-E- Paji Mosque"
34.28907849,63.05783067,3212377,"Sarwan Village","Sarwan School "
35.00530741,68.86111751,0307090,"Sar-E-Pul Du Aab","Du Aab Mosque"
34.99556325,65.70398113,2301039,"Jandak","Jandak School"
34.86126123,70.36992997,0704076,"Parwayee","Parwayee School"
34.88661829,70.37945197,0704080,"Mango","Mango School And Tent"
34.92327418,70.39196032,0704081,"Kotaly","Kotaly Islamic Madrassa"
34.94980635,71.22808631,1506063,"Shenkorak","Primary School"
34.96645553,71.27483787,1506064,"Shegal Washilton","District Compound"
35.01560098,71.39875741,1512054,"Byadad","Byadad Primary School"
33.78764238,64.8916015,2305113,"Takhta Tarma Village","Takhta Tarma Bazar Tent"
33.97186444,63.71988353,2309178,"Khwajaha Village","Tolak School"
34.12008072,63.63185896,2309186,"Tagab Ashlan","Tagab Ashlan Secondary School"
34.15350051,63.51956725,2309192,"Laraq","Arbab Mir Gul Private House"
33.94593145,63.79730451,2309193,"Sang Khalq","Sang Khalq Primary School"
32.404516,64.47085691,3007196,"Nawzad Kalan","Asad Suri High School"
32.23240214,64.6983095,3009184,"Sher Ghazai","Noor Mohammad Private House"
32.26020614,64.74522454,3009185,"Kaani Manda","Khan Mohammad Mosque"
35.61373847,63.31073532,3105153,"Akaziha ","Akazi School"
35.52160345,63.37038205,3105158,"Joy-E-Kar","Joy-E- Kar School"
35.32536504,63.64135239,3105168,"Mahalla-E- Paheen ","Mahalla-E- Paheen  School"
35.61215435,63.32484536,3105188,"Sarkhlang Joy-E-Ganj","Sarkhlang Joy-E-Ganj Mosque"
32.90659178,61.90357121,3303055,"Kariz Sadiq","Kariz Sadiq Mosque "
32.60276273,62.09337379,3303239,"Ghorchi","Ghorchi Mosque "
32.29932536,61.29710971,3304072,"Hassan Abad Ulya ","Hassan Abad Ulya Mosque "
32.76432537,62.57846224,3306149,"Todanak Village","Todanak Village Tent (Kuchi)"
32.55547772,63.23385868,3310177,"Mughol Abad ","Mughol Abad Mosque "
34.95213325,69.59841878,0205039,"Afghania","Qazi Abdul Jamil  School "
34.85358832,69.64536943,0206078,"District Compound","Ghazi Usman High School"
34.85720486,69.3929361,0308143,"Mula Ahmad Khel","Mula Ahmad Khel School"
34.79483419,69.46397381,0308144,"Dandar","Dandar School"
34.77972019,70.11452913,0703093,"Alishang","Kotwal Khando Village Mosque"
34.99739611,70.7366576,1513082,"Morchal Village","Morchal Village Primary School"
34.61408006,70.76200808,1514083,"Bar Noor Gul","Bar Noor Gul Boys High School"
36.98623977,70.63250517,1702054,"Gazan ","Gazan Mosque"
37.05528508,70.65470123,1702055,"Bagh Mubarak","Bagh Mubarak School"
33.59241815,64.22200661,2308232,"Seb Talkh","Seb Talkh School"
34.76178709,63.52890743,3104086,"Qooli Zardak","Qoole Zardak"
32.61456274,63.6732466,3310172,"Qala-E-Kohna","Qala Kohna Boys Primary School"
32.1934924,63.55801623,3406057,"Dangar Abad ","Dangar Abad "
35.175362331,69.222316154,0306064,"Takhma ","Takhma Mosque"
34.715314415,63.863211312,3104080,"Nawa Mullah Gadah ","Nawa Mullah Gadah Mosque"
34.916356754,68.646067116,0309142,"Lolenj ","Ziarat-E-Shah Daleer Lolenj "
34.5108701,69.17511911,0101013,"Chendawol","Takya Khana-E-Umomi"
34.5695,69.13307222,0101244,"Qala-E-Najarha","No.16Th Secondary School"
34.54277991,68.964355,0102417,"Orya Khel","Orya Khel Secondary School"
34.48005115,68.94906596,0102418,"Chawk Arghandi","Saha-E-Kuchiha"
34.35229222,69.1171451,0103422,"Nowniaz","Malik Khani House"
34.41689761,69.14518153,0103423,"Bala Qala","Chahar Asyab Boys High School"
34.470105212,69.200684062,0104459,"Valayati","Shaheed Mohammad Arif Zarif Secondary School"
34.4675,69.31333333,0104460,"Karez Bakr Village","Kariz Bakr Primary School"
34.646100641,69.394542176,0105472,"Deh Sabz Khas","Deh Sabz-E-Khas Girls High School"
34.60836995,69.26238547,0105474,"Qala-E-Zarin","Haji Ahmad Shah Mosque"
34.68545039,69.03443985,0106394,"Qala-E-Wazir","Dara-E-Shakar Dara High School"
34.66741061,69.07541514,0106395,"Qala-E-Murad Big","Qala-E-Murad Big High School"
34.86588865,69.18468964,0114366,"Denar Khel","Abdul Rahman Ba Ba Secondary School"
34.84395674,69.15720909,0114367,"District Capital","Abdul Wakil Shaheed High School"
34.56868747,69.71990075,0115479,"Loy Kalai","Yar Del Orya Khel Mosque"
34.36484157,69.57981103,0115480,"Loy Kalai","Tezen-E-Khas Primary School"
34.57776629,69.59578261,0115517,"Guga Manda","Guga Manda School"
34.66239124,69.83624382,0115518,"Sper Kundi","Sperkundi School"
34.43259103,70.40295759,0603084,"Du Saraka","Bakhtaan Clinic"
34.35657341,70.22309465,0603085,"Fateh Abad","Fateh Abad Clinic"
34.08106757,66.92585335,1007150,"Takhta Ha","Takhta Ha Mosque"
34.03167321,66.97161039,1007151,"Waaz Darghan","Waaz Darghan Mosque"
34.11790565,66.96819418,1007159,"Nas Patan","Toop-E-Ismael Mosque"
32.9709349,69.07377057,1205081,"Shah Tori","Big Mosque"
32.97138823,69.07476653,1205082,"Shah Tori","Mohammad Hayat Guest House"
32.18463805,69.00664213,1208126,"Payandi Village","Mawlavi Serajuddin Madressa"
32.44728365,68.85172837,1208127,"Shekin","Shekin Bazaar Mosque"
33.885779689,69.67766876,1308207,"Moti Village, Sakander Khel","Moti School"
33.66666217,69.7848217,1309170,"Kotkai, Setar Kalai","Kotkai Mosque"
33.32614995,69.9427947,1401003,"Omar Village","Omer Village Dermand"
33.3276505,69.94409176,1401004,"Shamal Omar Village","Mohammad Vally Shah Hojra"
36.632766822,68.849979684,1902115,"Naqil Salarzai","Salarzai Mosque"
37.19456548,68.89822911,1905093,"Imam Sahib City","Nomania Secondary School"
37.15549619,68.90591411,1905094,"Ota Blaqiha Village","Ortablaqi School"
35.50397325,67.76274366,2005072,"Aabkhorak Village","Aabkhorak Madrassa"
35.56491998,67.81933833,2005073,"District Compound","Do Aab Madrassa"
37.00583957,66.08406227,2804069,"Chaar Changhoo","Chaar Changhoo High School"
37.01402769,66.13708515,2804070,"Mangjeek","Mangjeek School"
37.53171547,65.71695304,2806086,"Qarnas","Qarnas School"
37.49518735,65.80223849,2806087,"Chopli","Chopli Tapa"
35.72003963,64.15662982,2907110,"Zori Ha","Zori Ha Primary School"
36.41997614,64.88473039,2909158,"Bay Qala Qozi ","Qozi Bay Qala Girls High School"
36.36500584,64.90297028,2909159,"Kokcha Qala","Jar Qala School"
34.27960544,62.39698059,3202078,"Sar Hasan Khwaja Village ","Shohada Secondary School "
34.22481174,62.62732016,3206128,"Shad Abad Village ","Shah Abad School "
34.2180142,62.59203992,3206129,"Gul Meer Village ","Gul Meer High School "
31.62775303,61.50522186,3309097,"Daraq ","Daraq Secondary School"
31.50046354,61.50595113,3309098,"Deh Shaikh ","Deh Shaikh Mosque"
34.72732392,68.7410035,0309140,"Dahan-E-Barik ","Qatandar School "
37.00989972,73.40719502,1728212,"Patokh","Sarhad Pamir_Patokh High School"
34.51087045,69.13203963,0101038,"Sarai Ghazni","Sayed Jamalluddin Teacher Training School"
34.51050182,69.15775104,0101039,"Dehmazang","Amir Dust Mohammad Khan School"
34.51452243,69.10758998,0101093,"Sarai Heratiha","Mohammad Qayam Khan Primary School"
34.49134022,69.19258758,0101430,"Nahia 9","Noman Ibne Sabit Mosque"
34.50083333,69.215,0101491,"Jadid Abad Village","Abu Baker Sediq Mosque"
34.71223166,69.10733235,0108337,"Guzar Village","Mir Hameedullah School"
34.697990767,69.093598807,0108338,"Sofian","Pul-E-Sofian School"
34.45477772,70.50584211,0602050,"Jamaly","Shahid Agha Mosque"
34.47055202,70.50916448,0602051,"Jamaly","Malakh Village School"
34.21979367,70.81549116,0616426,"26 Viyala","Hospital Mosque"
34.192262649,70.811266644,0616428,"Ghani Khel","Daaga School"
34.23503825,70.96880769,0617472,"Garde Ghows ","Gardee Ghows High  School"
34.24384156,70.88198936,0617474,"Paas Basool","Aimal Khan High School"
33.19355742,68.81752065,1201009,"Omer Khel","Aljahad Primary School"
33.18985915,68.82264376,1201010,"Sra Qala","Primary School"
32.81231095,68.46969351,1207096,"Mohammad Hassan","Ibrahim Guest House"
32.83058872,68.48861455,1207098,"Mohammad Dost Village","Mohammad Dost Mosque"
33.15833863,69.31137204,1212189,"District Bazaar","Khaima Mosque"
33.55770078,69.16959117,1301006,"Ibrahim Khel","Ibrahim Khel School"
33.63602654,69.16432346,1301007,"Robaat Village","Robaat Boys School"
33.75416709,69.45204473,1306031,"Karez","Karez Mosque"
33.75343072,69.45010404,1306032,"Karez","Karez School"
33.80422075,69.81470407,1310157,"Chamkani, Shahr-E-Naw","District Central Hospital "
33.79689135,69.74202191,1310159,"Tanni, Bagyaar","Sultan House"
33.71254472,69.76232377,1310160,"Mangyaar Village","Eid Gul Mosque"
33.31388832,69.95692123,1401047,"Bangi Bagh","Rasool House"
33.35022909,70.02169062,1401161,"Deri","Dere Madrassa"
33.29951064,69.86801995,1402085,"Tora Worrai","Tora Wari High School Degan"
33.32307098,69.8617206,1402086,"Deganano Village","Sayda Jan Mosque"
36.74563482,69.5562466,1801017,"Bolak Orta Baz","Bolak Orta Baz Primary School"
36.59439838,69.64108956,1806083,"Bekh Kotal","District Office"
36.89227926,66.77677677,2106159,"Elqechee Village","Elqechee School"
34.36007106,62.14796166,3202038,"Abul Waleed","Abul Waleed Mosque"
34.344170547,62.135461035,3202039,"Gow Butan ","Gow Butan High School "
34.376802157,62.444844685,3204158,"Islam Abad Village ","Islam Abad School "
34.35810732,62.39578671,3204159,"Pahlawan Peri Village","Pahlawan Peri Scondary School "
34.54668731,62.3171772,3204163,"Korpa Village ","Korpa School"
34.57343081,63.0914111,3204164,"Mjid Chobi ","Kochis Location "
33.2060007,62.1931337,3214336,"Chahar Qala-E-Duowm ","Chahar Qala-E-Dowom Clinic "
32.354502063,62.086483843,3301247,"Sang Zor","Sang Zor Mosque"
32.43890723,61.390737446,3304248,"Anjeeran","Angiran School"
34.833747317,67.781931516,1001168,"Mulah Ghulam","Karte Solh High School"
34.878602828,67.51523845,1001169,"Dahan Jaopalan","Mosque"
33.90772129,67.121170598,2407191,"Shazan","Mosque"
33.832265672,67.245977242,2407192,"Ghajorak","Mosque"
33.539880313,66.666722599,2402172,"Rakhan","Mosque"
35.751902467,68.498323224,0902260,"Naw Amad Qara Khwal Shakar To","Nawamad Mosque"
35.59830178,68.730003688,0903261,"Khwaja Zaid Sufla","Abo Hanifa Madrasa"
34.466101132,69.248404801,0104539,"Qalai Hasan Khan Sufla","Qala Hasan Khan Mosque"
34.492235239,69.31229847,0104540,"Hasan Khil Village_Said Jamaludin Second Part","Mehtarlam Baba Mosque"
34.906862353,70.377063666,0704131,"Lokar","School"
34.75865579,70.297346097,0704132,"Chinchar Pol","Mosque"
36.290958017,68.735631698,0905275,"Larkhwabi","Mulah Khal Muhammad Mosque"
33.316118869,69.864384958,1402177,"Dikano Village","Mosque"
37.057933355,71.175247317,1712305,"Dargab","Wakil Abdul Jabar School"
36.043066468,66.236171748,2204141,"Safar Qeshlaq","Mosque"
